job_id,energy_qpu_kwh,energy_cpu_kwh,energy_total_kwh,cost_energy_total,phi_qpu,phi_cpu,qpu_time_s,cpu_time_s,qpu_wait_s,cpu_wait_s,wait_total_s,qpu_turn_s,cpu_turn_s,turn_total_s,job_turnaround_s
2453,0.0,0.0032,0.0032,0.0006,0.0,1.0,0.0,4.2107,0.0,0.0,0.0,0.0,4.2107,4.2107,4.2073
2454,0.0,0.0028,0.0028,0.0005,0.0,1.0,0.0,3.7732,0.0,0.0,0.0,0.0,3.7732,3.7732,3.7739
2455,0.0,0.0027,0.0027,0.0005,0.0,1.0,0.0,3.4894,0.0,0.0,0.0,0.0,3.4894,3.4894,3.4872
2456,0.0,0.0029,0.0029,0.0005,0.0,1.0,0.0,4.0692,0.0,0.0,0.0,0.0,4.0692,4.0692,4.0668
2457,0.0,0.0024,0.0024,0.0004,0.0,1.0,0.0,3.628,0.0,0.0,0.0,0.0,3.628,3.628,3.6315
2458,0.0,0.002,0.002,0.0004,0.0,1.0,0.0,3.7157,0.0,0.0,0.0,0.0,3.7157,3.7157,3.719
2459,0.0,0.0027,0.0027,0.0005,0.0,1.0,0.0,3.833,0.0,0.0,0.0,0.0,3.8329999999999993,3.8329999999999993,3.8355
2460,0.0,0.0027,0.0027,0.0005,0.0,1.0,0.0,4.1965,0.0,0.0,0.0,0.0,4.1965,4.1965,4.193
2461,0.0,0.0023,0.0023,0.0004,0.0,1.0,0.0,3.7237,0.0,0.0,0.0,0.0,3.7237,3.7237,3.723
2462,0.0,0.0024,0.0024,0.0004,0.0,1.0,0.0,3.8527,0.0,0.0,0.0,0.0,3.8527,3.8527,3.8479
2463,0.0,0.002,0.002,0.0004,0.0,1.0,0.0,3.4949,0.0,0.0,0.0,0.0,3.4949000000000003,3.4949000000000003,3.4947
2464,0.0,0.0033,0.0033,0.0006,0.0,1.0,0.0,4.067,0.0,0.0,0.0,0.0,4.067,4.067,4.0664
2465,0.0,0.0029,0.0029,0.0005,0.0,1.0,0.0,4.1489,0.0,0.0,0.0,0.0,4.148899999999999,4.148899999999999,4.1513
2466,0.0,0.0028,0.0028,0.0005,0.0,1.0,0.0,3.4672,0.0,0.0,0.0,0.0,3.4672,3.4672,3.4719
2467,0.0,0.002,0.002,0.0004,0.0,1.0,0.0,3.1232,0.0,0.0,0.0,0.0,3.1231999999999998,3.1231999999999998,3.122
2468,0.0,0.0029,0.0029,0.0005,0.0,1.0,0.0,4.1318,0.0,0.0,0.0,0.0,4.1318,4.1318,4.1365
2469,0.0,0.0028,0.0028,0.0005,0.0,1.0,0.0,3.9639,0.0,0.0,0.0,0.0,3.9639,3.9639,3.9658
2470,0.0,0.0017,0.0017,0.0003,0.0,1.0,0.0,3.6361,0.0,0.0,0.0,0.0,3.6361,3.6361,3.6385
2471,0.0,0.0024,0.0024,0.0004,0.0,1.0,0.0,3.651,0.0,0.0,0.0,0.0,3.651,3.651,3.6501
2472,0.0,0.0026,0.0026,0.0005,0.0,1.0,0.0,3.7665,0.0,0.0,0.0,0.0,3.7665,3.7665,3.7616
2473,0.0,0.0028,0.0028,0.0005,0.0,1.0,0.0,4.2002,0.0,0.0,0.0,0.0,4.200200000000001,4.200200000000001,4.1985
2474,0.0,0.0027,0.0027,0.0005,0.0,1.0,0.0,3.4397,0.0,0.0,0.0,0.0,3.4397,3.4397,3.4353
2475,0.0,0.0028,0.0028,0.0005,0.0,1.0,0.0,3.7559,0.0,0.0,0.0,0.0,3.7558999999999996,3.7558999999999996,3.7596
2476,0.0,0.003,0.003,0.0005,0.0,1.0,0.0,3.9506,0.0,0.0,0.0,0.0,3.9506,3.9506,3.9549
2477,0.0,0.0022,0.0022,0.0004,0.0,1.0,0.0,3.4005,0.0,0.0,0.0,0.0,3.4004999999999996,3.4004999999999996,3.4004
2478,0.0,0.0029,0.0029,0.0005,0.0,1.0,0.0,3.7112,0.0,0.0,0.0,0.0,3.7112,3.7112,3.7065
2479,0.0,0.0032,0.0032,0.0006,0.0,1.0,0.0,3.8303,0.0,0.0,0.0,0.0,3.8303000000000003,3.8303000000000003,3.8315
2480,0.0,0.0022,0.0022,0.0004,0.0,1.0,0.0,3.0852,0.0,0.0,0.0,0.0,3.0852,3.0852,3.0829
2481,0.0,0.0023,0.0023,0.0004,0.0,1.0,0.0,3.9875,0.0,0.0,0.0,0.0,3.9875,3.9875,3.9894
2482,0.0,0.0028,0.0028,0.0005,0.0,1.0,0.0,4.0005,0.0,0.0,0.0,0.0,4.0005,4.0005,4.0038
2483,0.0,0.0035,0.0035,0.0006,0.0,1.0,0.0,3.9992,0.0,0.0,0.0,0.0,3.9992,3.9992,4.0033
2484,0.0,0.0034,0.0034,0.0006,0.0,1.0,0.0,4.291,0.0,0.0,0.0,0.0,4.291,4.291,4.289
2485,0.0,0.0014,0.0014,0.0002,0.0,1.0,0.0,2.796,0.0,0.0,0.0,0.0,2.796,2.796,2.8009
2486,0.0,0.0025,0.0025,0.0005,0.0,1.0,0.0,3.8264,0.0,0.0,0.0,0.0,3.8264,3.8264,3.8252
2487,0.0,0.0032,0.0032,0.0006,0.0,1.0,0.0,3.9165,0.0,0.0,0.0,0.0,3.9165,3.9165,3.9158
2488,0.0,0.0032,0.0032,0.0006,0.0,1.0,0.0,4.1843,0.0,0.0,0.0,0.0,4.1843,4.1843,4.1836
2489,0.0,0.0024,0.0024,0.0004,0.0,1.0,0.0,3.1672,0.0,0.0,0.0,0.0,3.1672,3.1672,3.1654
2490,0.0,0.0027,0.0027,0.0005,0.0,1.0,0.0,3.7262,0.0,0.0,0.0,0.0,3.7262,3.7262,3.7238
2491,0.0,0.0029,0.0029,0.0005,0.0,1.0,0.0,4.0349,0.0,0.0,0.0,0.0,4.0349,4.0349,4.0366
2492,0.0,0.0025,0.0025,0.0004,0.0,1.0,0.0,3.7878,0.0,0.0,0.0,0.0,3.7878000000000003,3.7878000000000003,3.784
2493,0.0,0.0022,0.0022,0.0004,0.0,1.0,0.0,3.4907,0.0,0.0,0.0,0.0,3.4907000000000004,3.4907000000000004,3.4926
2494,0.0,0.0033,0.0033,0.0006,0.0,1.0,0.0,4.0605,0.0,0.0,0.0,0.0,4.0605,4.0605,4.064
2495,0.0,0.0031,0.0031,0.0006,0.0,1.0,0.0,3.8868,0.0,0.0,0.0,0.0,3.8868,3.8868,3.8826
2496,0.0,0.0023,0.0023,0.0004,0.0,1.0,0.0,3.3898,0.0,0.0,0.0,0.0,3.3898,3.3898,3.3884
2497,0.0,0.0022,0.0022,0.0004,0.0,1.0,0.0,3.7106,0.0,0.0,0.0,0.0,3.7105999999999995,3.7105999999999995,3.7115
2498,0.0,0.002,0.002,0.0004,0.0,1.0,0.0,3.7186,0.0,0.0,0.0,0.0,3.7186000000000003,3.7186000000000003,3.7215
2499,0.0,0.0032,0.0032,0.0006,0.0,1.0,0.0,4.3181,0.0,0.0,0.0,0.0,4.318099999999999,4.318099999999999,4.32
2500,0.0,0.0024,0.0024,0.0004,0.0,1.0,0.0,3.3822,0.0,0.0,0.0,0.0,3.3822,3.3822,3.3782
2501,0.0,0.0026,0.0026,0.0005,0.0,1.0,0.0,3.6978,0.0,0.0,0.0,0.0,3.6978,3.6978,3.6989
2502,0.0,0.003,0.003,0.0005,0.0,1.0,0.0,4.1393,0.0,0.0,0.0,0.0,4.1393,4.1393,4.1408
2503,0.0,0.0025,0.0025,0.0004,0.0,1.0,0.0,3.7099,0.0,0.0,0.0,0.0,3.7099,3.7099,3.7117
2504,0.0,0.0021,0.0021,0.0004,0.0,1.0,0.0,3.8596,0.0,0.0,0.0,0.0,3.8596000000000004,3.8596000000000004,3.8549
2505,0.0,0.0028,0.0028,0.0005,0.0,1.0,0.0,4.2906,0.0,0.0,0.0,0.0,4.2905999999999995,4.2905999999999995,4.29
2506,0.0,0.0023,0.0023,0.0004,0.0,1.0,0.0,3.2591,0.0,0.0,0.0,0.0,3.2591,3.2591,3.262
2507,0.0,0.0025,0.0025,0.0005,0.0,1.0,0.0,3.1578,0.0,0.0,0.0,0.0,3.1578,3.1578,3.1533
2508,0.0,0.0029,0.0029,0.0005,0.0,1.0,0.0,3.9519,0.0,0.0,0.0,0.0,3.9519,3.9519,3.9502
2509,0.0,0.0031,0.0031,0.0006,0.0,1.0,0.0,3.8618,0.0,0.0,0.0,0.0,3.8618,3.8618,3.8576
2510,0.0,0.0019,0.0019,0.0003,0.0,1.0,0.0,3.5142,0.0,0.0,0.0,0.0,3.5141999999999998,3.5141999999999998,3.5179
2511,0.0,0.003,0.003,0.0005,0.0,1.0,0.0,3.4998,0.0,0.0,0.0,0.0,3.4998000000000005,3.4998000000000005,3.5046
2512,0.0,0.0032,0.0032,0.0006,0.0,1.0,0.0,3.9105,0.0,0.0,0.0,0.0,3.9105,3.9105,3.9126
2513,0.0,0.0032,0.0032,0.0006,0.0,1.0,0.0,4.1559,0.0,0.0,0.0,0.0,4.1559,4.1559,4.1576
2514,0.0,0.0034,0.0034,0.0006,0.0,1.0,0.0,4.09,0.0,0.0,0.0,0.0,4.09,4.09,4.0929
2515,0.0,0.0019,0.0019,0.0003,0.0,1.0,0.0,3.2061,0.0,0.0,0.0,0.0,3.2061,3.2061,3.2067
2516,0.0,0.0023,0.0023,0.0004,0.0,1.0,0.0,3.4101,0.0,0.0,0.0,0.0,3.4101000000000004,3.4101000000000004,3.4091
2517,0.0,0.0027,0.0027,0.0005,0.0,1.0,0.0,4.0901,0.0,0.0,0.0,0.0,4.0901,4.0901,4.0883
2518,0.0,0.0029,0.0029,0.0005,0.0,1.0,0.0,3.8057,0.0,0.0,0.0,0.0,3.8057,3.8057,3.8043
2519,0.0,0.0032,0.0032,0.0006,0.0,1.0,0.0,4.5998,0.0,0.0,0.0,0.0,4.5998,4.5998,4.6038
2520,0.0,0.0032,0.0032,0.0006,0.0,1.0,0.0,4.4668,0.0,0.0,0.0,0.0,4.4668,4.4668,4.4626
2521,0.0,0.0019,0.0019,0.0003,0.0,1.0,0.0,3.8241,0.0,0.0,0.0,0.0,3.8240999999999996,3.8240999999999996,3.8222
2522,0.0,0.0023,0.0023,0.0004,0.0,1.0,0.0,3.6484,0.0,0.0,0.0,0.0,3.6483999999999996,3.6483999999999996,3.6502
2523,0.0,0.0024,0.0024,0.0004,0.0,1.0,0.0,3.2955,0.0,0.0,0.0,0.0,3.2955,3.2955,3.2955
2524,0.0,0.0021,0.0021,0.0004,0.0,1.0,0.0,3.5064,0.0,0.0,0.0,0.0,3.5063999999999997,3.5063999999999997,3.5104
2525,0.0,0.0033,0.0033,0.0006,0.0,1.0,0.0,4.1496,0.0,0.0,0.0,0.0,4.1495999999999995,4.1495999999999995,4.1534
2526,0.0,0.0024,0.0024,0.0004,0.0,1.0,0.0,4.2173,0.0,0.0,0.0,0.0,4.2173,4.2173,4.2204
2527,0.0,0.0037,0.0037,0.0007,0.0,1.0,0.0,4.2591,0.0,0.0,0.0,0.0,4.2591,4.2591,4.2637
2528,0.0,0.0022,0.0022,0.0004,0.0,1.0,0.0,3.6861,0.0,0.0,0.0,0.0,3.6861,3.6861,3.6901
2529,0.0,0.0024,0.0024,0.0004,0.0,1.0,0.0,4.0471,0.0,0.0,0.0,0.0,4.0471,4.0471,4.047
2530,0.0,0.0027,0.0027,0.0005,0.0,1.0,0.0,3.7693,0.0,0.0,0.0,0.0,3.7692999999999994,3.7692999999999994,3.7717
2531,0.0,0.0027,0.0027,0.0005,0.0,1.0,0.0,4.0503,0.0,0.0,0.0,0.0,4.0503,4.0503,4.0459
2532,0.0,0.0026,0.0026,0.0005,0.0,1.0,0.0,3.5287,0.0,0.0,0.0,0.0,3.5286999999999997,3.5286999999999997,3.5302
2533,0.0,0.0026,0.0026,0.0005,0.0,1.0,0.0,3.8586,0.0,0.0,0.0,0.0,3.8586000000000005,3.8586000000000005,3.8616
2534,0.0,0.0031,0.0031,0.0006,0.0,1.0,0.0,3.7866,0.0,0.0,0.0,0.0,3.7866,3.7866,3.7915
2535,0.0,0.0034,0.0034,0.0006,0.0,1.0,0.0,4.2759,0.0,0.0,0.0,0.0,4.2759,4.2759,4.2766
2536,0.0,0.0024,0.0024,0.0004,0.0,1.0,0.0,3.8126,0.0,0.0,0.0,0.0,3.8125999999999998,3.8125999999999998,3.8115
2537,0.0,0.0023,0.0023,0.0004,0.0,1.0,0.0,3.5744,0.0,0.0,0.0,0.0,3.5744,3.5744,3.5766
2538,0.0,0.003,0.003,0.0005,0.0,1.0,0.0,3.3744,0.0,0.0,0.0,0.0,3.3744,3.3744,3.3725
2539,0.0,0.0023,0.0023,0.0004,0.0,1.0,0.0,3.7601,0.0,0.0,0.0,0.0,3.7601,3.7601,3.7562
2540,0.0,0.0031,0.0031,0.0006,0.0,1.0,0.0,3.7283,0.0,0.0,0.0,0.0,3.7283,3.7283,3.7275
2541,0.0,0.0024,0.0024,0.0004,0.0,1.0,0.0,2.975,0.0,0.0,0.0,0.0,2.975,2.975,2.9749
2542,0.0,0.0033,0.0033,0.0006,0.0,1.0,0.0,4.0841,0.0,0.0,0.0,0.0,4.084099999999999,4.084099999999999,4.082
2543,0.0,0.0026,0.0026,0.0005,0.0,1.0,0.0,3.4099,0.0,0.0,0.0,0.0,3.4099,3.4099,3.4067
2544,0.0,0.0021,0.0021,0.0004,0.0,1.0,0.0,3.3786,0.0,0.0,0.0,0.0,3.3786000000000005,3.3786000000000005,3.3811
2545,0.0,0.0024,0.0024,0.0004,0.0,1.0,0.0,4.0478,0.0,0.0,0.0,0.0,4.0478000000000005,4.0478000000000005,4.0453
2546,0.0,0.0028,0.0028,0.0005,0.0,1.0,0.0,3.6919,0.0,0.0,0.0,0.0,3.6919000000000004,3.6919000000000004,3.6944
2547,0.0,0.0028,0.0028,0.0005,0.0,1.0,0.0,4.1208,0.0,0.0,0.0,0.0,4.1208,4.1208,4.123
2548,0.0,0.0026,0.0026,0.0005,0.0,1.0,0.0,3.6072,0.0,0.0,0.0,0.0,3.6072,3.6072,3.6091
2549,0.0,0.0027,0.0027,0.0005,0.0,1.0,0.0,3.4955,0.0,0.0,0.0,0.0,3.4955000000000003,3.4955000000000003,3.4992
2550,0.0,0.0029,0.0029,0.0005,0.0,1.0,0.0,4.1701,0.0,0.0,0.0,0.0,4.1701,4.1701,4.1652
2551,0.0,0.0018,0.0018,0.0003,0.0,1.0,0.0,3.5357,0.0,0.0,0.0,0.0,3.5357000000000007,3.5357000000000007,3.5314
2552,0.0,0.0027,0.0027,0.0005,0.0,1.0,0.0,3.9633,0.0,0.0,0.0,0.0,3.9633,3.9633,3.9597
2553,0.0,0.0027,0.0027,0.0005,0.0,1.0,0.0,4.365,0.0,0.0,0.0,0.0,4.365,4.365,4.361
2554,0.0,0.0033,0.0033,0.0006,0.0,1.0,0.0,3.5749,0.0,0.0,0.0,0.0,3.5749,3.5749,3.5716
2555,0.0,0.0025,0.0025,0.0004,0.0,1.0,0.0,3.3888,0.0,0.0,0.0,0.0,3.3888000000000003,3.3888000000000003,3.3877
2556,0.0,0.0026,0.0026,0.0005,0.0,1.0,0.0,4.102,0.0,0.0,0.0,0.0,4.102,4.102,4.1022
2557,0.0,0.0021,0.0021,0.0004,0.0,1.0,0.0,3.3763,0.0,0.0,0.0,0.0,3.3762999999999996,3.3762999999999996,3.3739
2558,0.0,0.0029,0.0029,0.0005,0.0,1.0,0.0,4.2653,0.0,0.0,0.0,0.0,4.2653,4.2653,4.264
2559,0.0,0.0028,0.0028,0.0005,0.0,1.0,0.0,4.07,0.0,0.0,0.0,0.0,4.07,4.07,4.0676
2560,0.0,0.0038,0.0038,0.0007,0.0,1.0,0.0,3.8034,0.0,0.0,0.0,0.0,3.8034000000000003,3.8034000000000003,3.8038
2561,0.0,0.0031,0.0031,0.0006,0.0,1.0,0.0,3.8346,0.0,0.0,0.0,0.0,3.8346,3.8346,3.8385
2562,0.0,0.0025,0.0025,0.0005,0.0,1.0,0.0,3.3125,0.0,0.0,0.0,0.0,3.3125,3.3125,3.3158
2563,0.0,0.0025,0.0025,0.0004,0.0,1.0,0.0,4.1046,0.0,0.0,0.0,0.0,4.1046,4.1046,4.1059
2564,0.0,0.002,0.002,0.0004,0.0,1.0,0.0,3.4103,0.0,0.0,0.0,0.0,3.4103,3.4103,3.4056
2565,0.0,0.0018,0.0018,0.0003,0.0,1.0,0.0,2.9929,0.0,0.0,0.0,0.0,2.9928999999999997,2.9928999999999997,2.9939
2566,0.0,0.0032,0.0032,0.0006,0.0,1.0,0.0,3.9032,0.0,0.0,0.0,0.0,3.9032000000000004,3.9032000000000004,3.908
2567,0.0,0.0029,0.0029,0.0005,0.0,1.0,0.0,3.8079,0.0,0.0,0.0,0.0,3.8079,3.8079,3.8108
2568,0.0,0.0027,0.0027,0.0005,0.0,1.0,0.0,3.9423,0.0,0.0,0.0,0.0,3.9423000000000004,3.9423000000000004,3.9444
2569,0.0,0.0021,0.0021,0.0004,0.0,1.0,0.0,3.9071,0.0,0.0,0.0,0.0,3.9071,3.9071,3.9114
2570,0.0,0.0016,0.0016,0.0003,0.0,1.0,0.0,2.9746,0.0,0.0,0.0,0.0,2.9745999999999997,2.9745999999999997,2.9736
2571,0.0,0.003,0.003,0.0005,0.0,1.0,0.0,4.2108,0.0,0.0,0.0,0.0,4.2108,4.2108,4.2116
2572,0.0,0.0031,0.0031,0.0006,0.0,1.0,0.0,4.6983,0.0,0.0,0.0,0.0,4.6983,4.6983,4.6995
2573,0.0,0.0029,0.0029,0.0005,0.0,1.0,0.0,3.8082,0.0,0.0,0.0,0.0,3.8082000000000007,3.8082000000000007,3.811
2574,0.0,0.0027,0.0027,0.0005,0.0,1.0,0.0,3.9317,0.0,0.0,0.0,0.0,3.9317,3.9317,3.935
2575,0.0,0.0016,0.0016,0.0003,0.0,1.0,0.0,2.7037,0.0,0.0,0.0,0.0,2.7037,2.7037,2.7003
2576,0.0,0.0022,0.0022,0.0004,0.0,1.0,0.0,3.4372,0.0,0.0,0.0,0.0,3.4372,3.4372,3.4415
